Entity,Code,Year,Annual CO₂ emissions including land-use change,Annual CO₂ emissions from land-use change,Annual CO₂ emissions,Continent
Afghanistan,AFG,1996,1337347.9,-32756.16,1370104.0,Asia
Albania,ALB,1996,2317516.2,300008.34,2017508.0,Europe
Algeria,DZA,1996,108206230.0,8166799.5,100039430.0,Africa
Andorra,AND,1996,490572.97,36236.96,454336.0,Europe
Angola,AGO,1996,39687212.0,24438256.0,15248957.0,Africa
Anguilla,AIA,1996,,,62288.0,North America
Antigua and Barbuda,ATG,1996,253109.12,-36346.88,289456.0,North America
Argentina,ARG,1996,170990800.0,39855964.0,131134840.0,South America
Armenia,ARM,1996,5094570.5,2594258.5,2500312.0,Europe
Aruba,ABW,1996,,,725472.0,North America
Australia,AUS,1996,515150530.0,203210060.0,311940480.0,Oceania
Austria,AUT,1996,65024108.0,-2364452.5,67388560.0,Europe
Azerbaijan,AZE,1996,36529900.0,5287591.5,31242310.0,Europe
Bahamas,BHS,1996,1828372.6,14692.64,1813680.0,North America
Bahrain,BHR,1996,16018754.0,109.92,16018644.0,Asia
Bangladesh,BGD,1996,30611230.0,9118414.0,21492816.0,Asia
Barbados,BRB,1996,1340287.4,1282.3999,1339005.0,North America
Belarus,BLR,1996,72866270.0,11131488.0,61734784.0,Europe
Belgium,BEL,1996,131979350.0,2500606.8,129478744.0,Europe
Belize,BLZ,1996,4917198.0,4609422.0,307776.0,North America
Benin,BEN,1996,51725720.0,50541910.0,1183806.0,Africa
Bermuda,BMU,1996,,,527616.0,North America
Bhutan,BTN,1996,11198489.0,10900217.0,298272.0,Asia
Bolivia,BOL,1996,152031170.0,142015020.0,10016150.0,South America
Bonaire Sint Eustatius and Saba,BES,1996,,,58235.0,North America
Bosnia and Herzegovina,BIH,1996,-2300737.0,-6540240.0,4239503.0,Europe
Botswana,BWA,1996,4166297.8,1410969.8,2755328.0,Africa
Brazil,BRA,1996,2042495100.0,1753184100.0,289311000.0,South America
British Virgin Islands,VGB,1996,,,98928.0,North America
Brunei,BRN,1996,7127009.0,1248288.1,5878721.0,Asia
Bulgaria,BGR,1996,73437840.0,14977736.0,58460100.0,Europe
Burkina Faso,BFA,1996,25689296.0,24984596.0,704700.0,Africa
Burundi,BDI,1996,4349424.5,4107600.5,241824.0,Africa
Cambodia,KHM,1996,32579512.0,30948196.0,1631315.0,Asia
Cameroon,CMR,1996,33584476.0,27609816.0,5974660.0,Africa
Canada,CAN,1996,738650200.0,230453520.0,508196640.0,North America
Cape Verde,CPV,1996,419747.84,203571.84,216176.0,Africa
Central African Republic,CAF,1996,5691584.5,5479072.5,212512.0,Africa
Chad,TCD,1996,16742228.0,16299011.0,443217.0,Africa
Chile,CHL,1996,54605350.0,6379060.5,48226292.0,South America
China,CHN,1996,4652544000.0,1143726100.0,3508818200.0,Asia
Colombia,COL,1996,149335410.0,89422740.0,59912670.0,South America
Comoros,COM,1996,446604.97,365996.97,80608.0,Africa
Congo,COG,1996,17840580.0,13803168.0,4037411.2,Africa
Cook Islands,COK,1996,51296.0,0.0,51296.0,Oceania
Costa Rica,CRI,1996,6892105.0,2205728.0,4686377.0,North America
Cote d'Ivoire,CIV,1996,69690390.0,62164380.0,7526009.0,Africa
Croatia,HRV,1996,14015044.0,-3328634.0,17343678.0,Europe
Cuba,CUB,1996,53373680.0,30040732.0,23332950.0,North America
Curacao,CUW,1996,,,4344809.0,North America
Cyprus,CYP,1996,4116739.5,-2095148.5,6211888.0,Europe
Czechia,CZE,1996,129837190.0,-5181482.5,135018670.0,Europe
Democratic Republic of Congo,COD,1996,124053980.0,120581360.0,3472628.0,Africa
Denmark,DNK,1996,72902260.0,-1997393.1,74899650.0,Europe
Djibouti,DJI,1996,431729.12,123953.12,307776.0,Africa
Dominica,DMA,1996,20628.32,-52651.68,73280.0,North America
Dominican Republic,DOM,1996,15822084.0,-662268.0,16484352.0,North America
East Timor,TLS,1996,3203325.2,3203325.2,0.0,Asia
Ecuador,ECU,1996,57247710.0,31947810.0,25299900.0,South America
Egypt,EGY,1996,101577000.0,3626150.8,97950850.0,Africa
El Salvador,SLV,1996,6418625.0,2004134.8,4414490.0,North America
Equatorial Guinea,GNQ,1996,2069796.2,714260.2,1355536.0,Africa
Eritrea,ERI,1996,-1304830.8,-2203309.8,898479.0,Africa
Estonia,EST,1996,14106976.0,-4936104.0,19043080.0,Europe
Eswatini,SWZ,1996,2002485.9,1214725.9,787760.0,Africa
Ethiopia,ETH,1996,-4815242.5,-7609431.5,2794189.0,Africa
Faroe Islands,FRO,1996,,,600896.0,Europe
Fiji,FJI,1996,1993433.0,1200986.0,792447.0,Oceania
Finland,FIN,1996,69425740.0,5392748.5,64032996.0,Europe
France,FRA,1996,389568420.0,-13324723.0,402893150.0,Europe
French Polynesia,PYF,1996,,,468992.0,Oceania
Gabon,GAB,1996,16053274.0,10167637.0,5885637.0,Africa
Gambia,GMB,1996,512593.6,292753.6,219840.0,Africa
Georgia,GEO,1996,-3789346.5,-7843158.5,4053812.0,Europe
Germany,DEU,1996,940432800.0,-19220574.0,959653300.0,Europe
Ghana,GHA,1996,67965300.0,63106830.0,4858464.0,Africa
Greece,GRC,1996,88053740.0,-1061204.2,89114950.0,Europe
Greenland,GRL,1996,,,596899.0,North America
Grenada,GRD,1996,4983.047,-148904.95,153888.0,North America
Guatemala,GTM,1996,50105564.0,43534440.0,6571124.0,North America
Guinea,GIN,1996,-1867540.8,-3102308.8,1234768.0,Africa
Guinea-Bissau,GNB,1996,5800844.5,5595660.5,205184.0,Africa
Guyana,GUY,1996,11916683.0,10264219.0,1652464.0,South America
Haiti,HTI,1996,16729311.0,15710719.0,1018592.0,North America
Honduras,HND,1996,21776800.0,17901278.0,3875521.0,North America
Hong Kong,HKG,1996,,,28908528.0,Asia
Hungary,HUN,1996,58212004.0,-4946107.0,63158110.0,Europe
Iceland,ISL,1996,2800575.8,276851.84,2523724.0,Europe
India,IND,1996,986403260.0,162782580.0,823620700.0,Asia
Indonesia,IDN,1996,983157900.0,730092860.0,253065010.0,Asia
Iran,IRN,1996,284083330.0,9157178.0,274926140.0,Asia
Iraq,IRQ,1996,60096736.0,-14613168.0,74709900.0,Asia
Ireland,IRL,1996,30197694.0,-7271574.0,37469268.0,Europe
Israel,ISR,1996,51877532.0,-58220.96,51935750.0,Asia
Italy,ITA,1996,391957900.0,-51698820.0,443656700.0,Europe
Jamaica,JAM,1996,13662916.0,3975293.5,9687622.0,North America
Japan,JPN,1996,1246488200.0,-5057492.5,1251545700.0,Asia
Jordan,JOR,1996,13711541.0,-113877.12,13825418.0,Asia
Kazakhstan,KAZ,1996,110898000.0,-43607020.0,154505020.0,Asia
Kenya,KEN,1996,51149376.0,41856910.0,9292462.0,Africa
Kiribati,KIR,1996,29312.0,0.0,29312.0,Oceania
Kuwait,KWT,1996,51615772.0,-11101.92,51626870.0,Asia
Kyrgyzstan,KGZ,1996,8966592.0,3314674.2,5651918.0,Asia
Laos,LAO,1996,29353456.0,28603566.0,749891.0,Asia
Latvia,LVA,1996,769097.0,-8443578.0,9212675.0,Europe
Lebanon,LBN,1996,13196454.0,443673.78,12752780.0,Asia
Lesotho,LSO,1996,2266440.5,529704.44,1736736.0,Africa
Liberia,LBR,1996,6296604.0,5869142.0,427462.0,Africa
