Entity,Average CO₂ emissions (2001-2010)
Afghanistan,0.1201047154
Africa,1.1341287599999998
Albania,1.36459212
Algeria,3.10823872
Andorra,7.19322843
Angola,0.89771165
Anguilla,8.8887572
Antigua and Barbuda,5.97022344
Argentina,4.08629521
Armenia,1.381489274
Aruba,27.353572500000002
Asia,3.20428833
Asia (excl. China and India),3.57098737
Australia,18.8933008
Austria,9.003167399999999
Azerbaijan,3.53329152
Bahamas,5.715913609999999
Bahrain,22.7461049
Bangladesh,0.284411079
Barbados,6.66032219
Belarus,5.93003231
Belgium,11.579567950000001
Belize,1.59526054
Benin,0.371409093
Bermuda,9.42288688
Bhutan,0.599708338
Bolivia,1.258789157
Bonaire Sint Eustatius and Saba,4.11761792
Bosnia and Herzegovina,4.217098930000001
Botswana,2.13358215
Brazil,2.00522409
British Virgin Islands,7.0261575899999995
Brunei,17.9333819
Bulgaria,6.423315839999999
Burkina Faso,0.096540794
Burundi,0.026219477199999997
Cambodia,0.236926782
Cameroon,0.366645237
Canada,17.5927963
Cape Verde,0.918481295
Central African Republic,0.049970961200000004
Chad,0.0883819195
Chile,3.8396387400000003
China,4.65766001
Colombia,1.46620621
Comoros,0.21913981700000001
Congo,1.101471137
Cook Islands,3.75665563
Costa Rica,1.61380629
Cote d'Ivoire,0.35453682
Croatia,5.12467897
Cuba,2.4187921
Curacao,35.0043291
Cyprus,7.58550686
Czechia,12.05231505
Democratic Republic of Congo,0.0389591643
Denmark,9.95495355
Djibouti,0.514339339
Dominica,2.13493973
Dominican Republic,2.13302564
East Timor,0.300989197
Ecuador,2.1454960400000003
Egypt,2.1182873
El Salvador,1.0505913740000001
Equatorial Guinea,5.59154586
Eritrea,0.21463869600000002
Estonia,12.5990389
Eswatini,0.962694297
Ethiopia,0.0682611537
Europe,8.6453334
Europe (excl. EU-27),9.0113065
Europe (excl. EU-28),8.9881319
European Union (27),8.39616944
European Union (28),8.4848371
Faroe Islands,14.407851099999998
Fiji,1.188091967
Finland,12.1612156
France,6.59189389
French Polynesia,2.96571908
Gabon,4.0205615
Gambia,0.199769579
Georgia,1.274395917
Germany,10.6584968
Ghana,0.32024127999999996
Greece,9.7632893
Greenland,11.29093465
Grenada,2.0487262900000003
Guatemala,0.8486927529999999
Guinea,0.20295165499999998
Guinea-Bissau,0.146053139
Guyana,2.33314457
Haiti,0.191772141
High-income countries,12.50073185
Honduras,0.9482152899999999
Hong Kong,5.97030211
Hungary,5.766744650000001
Iceland,10.80943515
India,1.099034547
Indonesia,1.55867423
Iran,6.61381343
Iraq,3.5077076500000004
Ireland,11.0363746
Israel,9.231215500000001
Italy,8.19383483
Jamaica,3.7761863900000003
Japan,9.837861100000001
Jordan,3.2191077200000002
Kazakhstan,12.630490550000001
Kenya,0.256482452
Kiribati,0.45253809
Kosovo,1.944780782
Kuwait,30.9738318
Kyrgyzstan,1.10747064
Laos,0.29158486100000003
Latvia,3.5824750799999996
Lebanon,3.6643069600000002
Lesotho,1.024603091
Liberia,0.162170949
Libya,9.4370357
Liechtenstein,6.25749642
Lithuania,4.08296708
Low-income countries,0.411351712
Lower-middle-income countries,1.26825334
Luxembourg,23.3284637
Macao,3.15794285
Madagascar,0.0890428664
Malawi,0.0696416235
Malaysia,6.40992487
Maldives,2.18841745
Mali,0.1157201264
Malta,6.623315460000001
Marshall Islands,2.20070456
Mauritania,0.510744403
Mauritius,2.68913402
Mexico,4.23795363
Micronesia (country),1.2151142670000001
Moldova,1.17734556
Mongolia,3.89607364
Montenegro,3.15477758
Montserrat,8.984672380000001
Morocco,1.46035615
Mozambique,0.0964331859
Myanmar,0.231971772
Namibia,1.152532126
Nauru,5.49671968
Nepal,0.11984664650000001
Netherlands,10.84746445
New Caledonia,11.2252099
New Zealand,8.685179600000001
Nicaragua,0.783524054
Niger,0.0550080366
Nigeria,0.6589717869999999
Niue,2.4926474599999997
North America,13.891861
North America (excl. USA),5.4897684
North Korea,2.7835447899999997
North Macedonia,4.06636408
Norway,9.43232935
Oceania,12.76775875
Oman,14.3981338
Pakistan,0.768678391
Palau,11.126632
Palestine,0.538492536
Panama,2.12747688
Papua New Guinea,0.72030334
Paraguay,0.748399819
Peru,1.10923796
Philippines,0.840234819
Poland,8.3906755
Portugal,6.024919779999999
Qatar,54.256415100000005
Romania,4.76779152
Russia,10.9285289
Rwanda,0.057886687400000005
Saint Helena,1.9823960299999999
Saint Kitts and Nevis,4.398175849999999
Saint Lucia,2.4449688800000002
Saint Pierre and Miquelon,10.191733
Saint Vincent and the Grenadines,1.94833746
Samoa,0.880958165
Sao Tome and Principe,0.467754874
