ParentLocation,Period,FactValueNumeric
Africa,2000,11.449645390070923
Africa,2001,11.493617021276595
Africa,2002,11.53
Africa,2003,11.564893617021276
Africa,2004,11.635390070921986
Africa,2005,11.729929078014186
Africa,2006,11.838510638297873
Africa,2007,11.941631205673758
Africa,2008,12.039432624113475
Africa,2009,12.121134751773049
Africa,2010,12.204680851063829
Africa,2011,12.286170212765956
Africa,2012,12.368581560283689
Africa,2013,12.44531914893617
Africa,2014,12.499645390070922
Africa,2015,12.561134751773048
Africa,2016,12.629858156028368
Africa,2017,12.693191489361702
Africa,2018,12.720709219858156
Africa,2019,12.775744680851064
Africa,2020,12.41531914893617
Africa,2021,12.185248226950353
Americas,2000,15.529803921568627
Americas,2001,15.559411764705882
Americas,2002,15.680196078431374
Americas,2003,15.645196078431372
Americas,2004,15.691666666666666
Americas,2005,15.774019607843139
Americas,2006,15.939803921568627
Americas,2007,15.949803921568629
Americas,2008,16.02764705882353
Americas,2009,16.11950980392157
Americas,2010,15.983039215686274
Americas,2011,16.196176470588235
Americas,2012,16.245588235294118
Americas,2013,16.23127450980392
Americas,2014,16.21921568627451
Americas,2015,16.250980392156862
Americas,2016,16.219803921568626
Americas,2017,16.242156862745098
Americas,2018,16.304019607843138
Americas,2019,16.25764705882353
Americas,2020,15.467941176470589
Americas,2021,14.751666666666667
Eastern Mediterranean,2000,13.501363636363637
Eastern Mediterranean,2001,13.549696969696969
Eastern Mediterranean,2002,13.55560606060606
Eastern Mediterranean,2003,13.607272727272727
Eastern Mediterranean,2004,13.683484848484849
Eastern Mediterranean,2005,13.747575757575758
Eastern Mediterranean,2006,13.846666666666666
Eastern Mediterranean,2007,13.949848484848486
Eastern Mediterranean,2008,14.002727272727272
Eastern Mediterranean,2009,14.092121212121214
Eastern Mediterranean,2010,14.164545454545454
Eastern Mediterranean,2011,14.19469696969697
Eastern Mediterranean,2012,14.34742424242424
Eastern Mediterranean,2013,14.499848484848485
Eastern Mediterranean,2014,14.527727272727274
Eastern Mediterranean,2015,14.54030303030303
Eastern Mediterranean,2016,14.594999999999999
Eastern Mediterranean,2017,14.658030303030301
Eastern Mediterranean,2018,14.726363636363637
Eastern Mediterranean,2019,14.743030303030302
Eastern Mediterranean,2020,13.792575757575756
Eastern Mediterranean,2021,13.340606060606062
Europe,2000,14.788866666666665
Europe,2001,14.966333333333331
Europe,2002,14.913933333333334
Europe,2003,14.920666666666666
Europe,2004,15.1232
Europe,2005,15.15
Europe,2006,15.314799999999998
Europe,2007,15.4396
Europe,2008,15.579333333333334
Europe,2009,15.708466666666666
Europe,2010,15.823400000000001
Europe,2011,15.991733333333334
Europe,2012,16.0476
Europe,2013,16.218999999999998
Europe,2014,16.323266666666665
Europe,2015,16.307066666666667
Europe,2016,16.4454
Europe,2017,16.50626666666667
Europe,2018,16.6008
Europe,2019,16.7082
Europe,2020,16.0262
Europe,2021,15.744866666666667
South-East Asia,2000,13.31969696969697
South-East Asia,2001,13.457575757575759
South-East Asia,2002,13.520606060606061
South-East Asia,2003,13.654242424242426
South-East Asia,2004,13.614242424242423
South-East Asia,2005,13.803939393939395
South-East Asia,2006,13.85878787878788
South-East Asia,2007,13.923333333333332
South-East Asia,2008,13.913939393939394
South-East Asia,2009,14.087878787878788
South-East Asia,2010,14.17090909090909
South-East Asia,2011,14.282727272727271
South-East Asia,2012,14.447575757575757
South-East Asia,2013,14.516363636363637
South-East Asia,2014,14.57939393939394
South-East Asia,2015,14.66121212121212
South-East Asia,2016,14.75909090909091
South-East Asia,2017,14.803030303030303
South-East Asia,2018,14.847575757575756
South-East Asia,2019,14.656969696969696
South-East Asia,2020,14.621212121212121
South-East Asia,2021,14.044242424242423
Western Pacific,2000,13.676825396825397
Western Pacific,2001,13.755555555555556
Western Pacific,2002,13.806190476190476
Western Pacific,2003,13.886825396825397
Western Pacific,2004,13.973015873015873
Western Pacific,2005,14.08031746031746
Western Pacific,2006,14.173968253968255
Western Pacific,2007,14.244761904761905
Western Pacific,2008,14.295396825396825
Western Pacific,2009,14.343492063492063
Western Pacific,2010,14.425079365079364
Western Pacific,2011,14.473174603174602
Western Pacific,2012,14.548730158730159
Western Pacific,2013,14.621746031746031
Western Pacific,2014,14.673333333333332
Western Pacific,2015,14.693650793650795
Western Pacific,2016,14.766031746031747
Western Pacific,2017,14.803809523809523
Western Pacific,2018,14.86920634920635
Western Pacific,2019,14.936507936507937
Western Pacific,2020,15.04857142857143
Western Pacific,2021,14.604603174603175
